
Global Concordance Metrics: SAIT vs Conover-Iman Rank Transform
Metric                              Value       
Total genes compared                76          
Spearman correlation (p-values)     rho = 0.1155
Both methods significant (p < 0.05) 1 (1.3%)    
SAIT only significant               15 (19.7%)  
Rank test only significant          1 (1.3%)    
Neither significant                 59 (77.6%)  
Concordance rate                    1.3%        
Discordance rate                    21.1%       

Method Agreement Distribution
Agreement.Category  Number.of.Genes Percentage
Both significant    1               1.3%      
SAIT only           15              19.7%     
Rank test only      1               1.3%      
Neither significant 59              77.6%     

Robust Entropic Order Index Interactions: High-Confidence Genes Detected by Both Methods (n=1, ranked by statistical significance)
Gene   SAIT.adj.p Rank.test.adj.p SAIT.Effect Rank.test.rho.2
CXCL12 1.102e-40  1.109e-10       89.8%       0.080          

All Genes with Agreement Classification
Gene            SAIT.p               SAIT.adj.p           Rank.test.p          Rank.test.adj.p      SAIT.Effect       Rank.test.rho.2      Agreement          
NPY1R           0.000771149871398851 0.0470401421553299   0.998098957606929    0.999999997545169    0.559704084436841 0.0034302750130555   SAIT only          
CCNE1           0.00128278779791418  0.076967267874851    0.389963138840792    0.999999997545169    0.414400664288695 0.0206739198986027   Neither significant
TM7SF2          0.0016420800847942   0.0968827250028578   0.731511644859781    0.999999997545169    0.789615273465465 0.00802453390330638  Neither significant
METTL26         0.00172304233897599  0.0999364556606072   0.017813601632228    0.999999997545169    0.563578122496104 0.023541128175551    Neither significant
MCOLN1          0.00233667360241317  0.133190395337551    0.999999992125777    0.999999997545169    0.74027306189964  0.000838271912615475 Neither significant
SPNS2           0.00285620086878911  0.157568290203786    0.999991558700209    0.999999997545169    0.338935017115724 0.00147749937968149  Neither significant
FAXDC2          0.00286487800370521  0.157568290203786    0.998084622609419    0.999999997545169    0.799703789993132 0.00324290929846632  Neither significant
ZNF714          0.00320230508634306  0.172924474662525    0.0662661201856898   0.999999997545169    0.60004434080571  0.0300312145529991   Neither significant
CENPV           0.00406001078434268  0.215180571570162    0.679823563584156    0.999999997545169    0.800794423269691 0.00979475571980381  Neither significant
REG3A           0.005671783943904    0.294932765083008    0.999998783999875    0.999999997545169    0.293870725068693 0.00888845749978435  Neither significant
GLB1L2          0.00957613243018577  0.488382753939474    0.779414427525422    0.999999997545169    0.922248328076783 0.00301209056009546  Neither significant
ING3            0.010386410594346    0.519320529717298    0.00349541937094019  0.258661033449574    0.454467322918999 0.0385281413325897   Neither significant
THOC6           0.0119088951085489   0.583535860318896    0.86746976938905     0.999999997545169    0.824771339696281 0.00394360310638313  Neither significant
A4GALT          0.0122729180161417   0.5891000647748      0.928292467168932    0.999999997545169    0.700108226847606 0.0034360389225179   Neither significant
EXOC1           0.0173631903311382   0.816069945563494    0.831228410496529    0.999999997545169    0.458229227317161 0.0066377776891565   Neither significant
EPB41L4A-AS1    0.0189938553967132   0.856443889395121    0.956450495234693    0.999999997545169    0.548915028110571 0.000960704193813971 Neither significant
PPP1R2          0.0190320864310027   0.856443889395121    0.995886053170269    0.999999997545169    0.701434938321343 0.00520302870837521  Neither significant
CYP2W1          0.0282852567534169   0.896341774456394    0.837569805502775    0.999999997545169    0.287288708332215 0.0142118167688075   Neither significant
LINC03040       0.044759462834919    0.896341774456394    1.4690867531599e-05  0.00110181506486993  0.356538749745151 0.0674551389266514   Rank test only     
DNAJC24         0.0457157903098379   0.896341774456394    0.960878723080477    0.999999997545169    0.831090593489586 0.00531293771113416  Neither significant
ANGEL2          0.0572816391542276   0.896341774456394    0.681652760951692    0.999999997545169    0.733178509602809 0.0145958369536942   Neither significant
SAR1B           0.0605788243306749   0.896341774456394    0.999883111639394    0.999999997545169    0.780887735415352 0.000563943354749531 Neither significant
GSKIP           0.0617350411702206   0.896341774456394    0.999999909246288    0.999999997545169    0.323617176392496 0.000322715078125948 Neither significant
TMEM38A         0.065364863156098    0.896341774456394    0.997481218180394    0.999999997545169    0.292386077400489 0.00112932389746461  Neither significant
LINC02362       0.0791506864760461   0.896341774456394    0.999743322651241    0.999999997545169    0.209304902024003 0.00383144271924328  Neither significant
SPIRE2          0.0903494278514359   0.896341774456394    0.999999997545169    0.999999997545169    0.908199185119633 0.00113073956119109  Neither significant
RAP1GDS1        0.0945290788786759   0.896341774456394    0.0340642716659167   0.999999997545169    0.468231995770915 0.0281873099949389   Neither significant
SYNM            0.0945440382056788   0.896341774456394    0.999943835504821    0.999999997545169    0.164920209497997 0.000345567364152487 Neither significant
TMEM183A        0.107557321360871    0.896341774456394    0.900717626396584    0.999999997545169    0.514968580570643 0.0153533620433926   Neither significant
GIPR            0.129818841593158    0.896341774456394    0.999999426375398    0.999999997545169    0.266303117250012 0.0102518196667616   Neither significant
CYBB            0.130528881233878    0.896341774456394    0.848123371666989    0.999999997545169    0.710293165286109 0.0066619121949166   Neither significant
ENSG00000291072 0.137458736391719    0.896341774456394    0.999999995839119    0.999999997545169    0.688254739226239 0.000264088088142141 Neither significant
NFKBIB          0.149357286656491    0.896341774456394    0.783532025838987    0.999999997545169    0.618691314619939 0.00887375992347391  Neither significant
ENSG00000254706 0.160890369962586    0.896341774456394    0.996754835764568    0.999999997545169    0.33589421734078  0.00679804863944148  Neither significant
SH3PXD2A        0.173018888352621    0.896341774456394    0.999998345649987    0.999999997545169    0.544256329396954 0.000750655514848993 Neither significant
NSA2            0.179742741457935    0.896341774456394    0.997277925234702    0.999999997545169    0.757131563013301 0.000157678137602924 Neither significant
GDI1            0.190418069900707    0.896341774456394    0.584797716620473    0.999999997545169    0.85037941589469  0.00306109939858631  Neither significant
FBXO3           0.202102830322067    0.896341774456394    0.999964130090027    0.999999997545169    0.374662465449906 0.0017449657174946   Neither significant
HIGD1A          0.228458725730692    0.896341774456394    0.524242275480361    0.999999997545169    0.588462230438645 0.027091447361228    Neither significant
