gene	gene_name	transcript_id	pvalue	fdr	rrm_p_interaction	rrm_adj_p_interaction	q_value
ENSG00000130731.17	METTL26	ENST00000338401.8	0.016	0.3195	5.16577748211313e-05	0.00320601708628249	0_50
ENSG00000130731.17	METTL26	ENST00000397666.6	0.802	1	5.16577748211313e-05	0.00320601708628249	0_50
ENSG00000130731.17	METTL26	ENST00000448973.6	0.883	1	5.16577748211313e-05	0.00320601708628249	0_50
ENSG00000130731.17	METTL26	ENST00000568830.1	0.201	1	5.16577748211313e-05	0.00320601708628249	0_50
ENSG00000130731.17	METTL26	ENST00000614890.4	0.001	0.0355	5.16577748211313e-05	0.00320601708628249	0_50
ENSG00000172016.16	REG3A	ENST00000305165.3	0.528688524590164	1	2.36590317084094e-05	0.0015141780293382	0_50
ENSG00000172016.16	REG3A	ENST00000409839.7	0.512707182320442	1	2.36590317084094e-05	0.0015141780293382	0_50
ENSG00000071243.17	ING3	ENST00000315870.10	1	1	0.00010029270992312	0.00611785530531035	0_50
ENSG00000071243.17	ING3	ENST00000339121.9	0.549	1	0.00010029270992312	0.00611785530531035	0_50
ENSG00000071243.17	ING3	ENST00000427726.5	0.954	1	0.00010029270992312	0.00611785530531035	0_50
ENSG00000071243.17	ING3	ENST00000431467.1	0.462	1	0.00010029270992312	0.00611785530531035	0_50
ENSG00000071243.17	ING3	ENST00000445699.5	0.972	1	0.00010029270992312	0.00611785530531035	0_50
ENSG00000071243.17	ING3	ENST00000875858.1	0.446	1	0.00010029270992312	0.00611785530531035	0_50
ENSG00000140274.15	DUOXA2	ENST00000323030.6	0.497777777777778	1	2.65547084217704e-11	1.93849371478924e-09	0_50
ENSG00000140274.15	DUOXA2	ENST00000350243.10	0.52	1	2.65547084217704e-11	1.93849371478924e-09	0_50
ENSG00000183018.10	SPNS2	ENST00000329078.8	0.517102615694165	1	5.08891600997221e-05	0.00320601708628249	0_50
ENSG00000183018.10	SPNS2	ENST00000932033.1	0.963	1	5.08891600997221e-05	0.00320601708628249	0_50
ENSG00000181577.16	LINC03040	ENST00000336600.7	0.987	1	0.000136413149442929	0.00818478896657574	0_50
ENSG00000181577.16	LINC03040	ENST00000439969.3	0.982	1	0.000136413149442929	0.00818478896657574	0_50
ENSG00000181577.16	LINC03040	ENST00000442114.6	0.102	1	0.000136413149442929	0.00818478896657574	0_50
ENSG00000107562.18	CXCL12	ENST00000343575.11	0.995	1	2.02836607725068e-26	1.54155821871051e-24	0_50
ENSG00000107562.18	CXCL12	ENST00000374426.6	0.74	1	2.02836607725068e-26	1.54155821871051e-24	0_50
ENSG00000107562.18	CXCL12	ENST00000374429.6	0.018	0.3195	2.02836607725068e-26	1.54155821871051e-24	0_50
ENSG00000090989.19	EXOC1	ENST00000346134.11	0.287	1	0.000154650093190646	0.00912435549824812	0_50
ENSG00000090989.19	EXOC1	ENST00000381295.7	0.821	1	0.000154650093190646	0.00912435549824812	0_50
ENSG00000090989.19	EXOC1	ENST00000505501.1	0.751	1	0.000154650093190646	0.00912435549824812	0_50
ENSG00000090989.19	EXOC1	ENST00000511971.5	0.924	1	0.000154650093190646	0.00912435549824812	0_50
ENSG00000090989.19	EXOC1	ENST00000892248.1	0.983	1	0.000154650093190646	0.00912435549824812	0_50
ENSG00000055147.20	FAM114A2	ENST00000351797.9	0.887	1	8.32514111719993e-10	5.99410160438395e-08	0_50
ENSG00000055147.20	FAM114A2	ENST00000518735.1	0.486	1	8.32514111719993e-10	5.99410160438395e-08	0_50
ENSG00000055147.20	FAM114A2	ENST00000518900.1	0.197	1	8.32514111719993e-10	5.99410160438395e-08	0_50
ENSG00000055147.20	FAM114A2	ENST00000519808.5	0.746	1	8.32514111719993e-10	5.99410160438395e-08	0_50
ENSG00000055147.20	FAM114A2	ENST00000522858.5	0.001	0.0355	8.32514111719993e-10	5.99410160438395e-08	0_50
ENSG00000055147.20	FAM114A2	ENST00000907997.1	0.727	1	8.32514111719993e-10	5.99410160438395e-08	0_50
ENSG00000196591.13	HDAC2	ENST00000368632.6	0.126	1	6.18559513741788e-09	4.32991659619251e-07	0_50
ENSG00000196591.13	HDAC2	ENST00000425835.6	0.944	1	6.18559513741788e-09	4.32991659619251e-07	0_50
ENSG00000196591.13	HDAC2	ENST00000519108.5	1	1	6.18559513741788e-09	4.32991659619251e-07	0_50
ENSG00000196591.13	HDAC2	ENST00000520746.1	0.435	1	6.18559513741788e-09	4.32991659619251e-07	0_50
ENSG00000196591.13	HDAC2	ENST00000521233.1	0.442	1	6.18559513741788e-09	4.32991659619251e-07	0_50
ENSG00000196591.13	HDAC2	ENST00000916849.1	0.214	1	6.18559513741788e-09	4.32991659619251e-07	0_50
ENSG00000169093.17	ASMTL	ENST00000381317.9	0.498	1	5.95269550122516e-07	4.04783294083311e-05	0_50
ENSG00000169093.17	ASMTL	ENST00000474865.6	0.575	1	5.95269550122516e-07	4.04783294083311e-05	0_50
ENSG00000205268.12	PDE7A	ENST00000396642.7	0.963	1	5.92661768722929e-06	0.000385230149669904	0_50
ENSG00000205268.12	PDE7A	ENST00000401827.8	0.779	1	5.92661768722929e-06	0.000385230149669904	0_50
ENSG00000205268.12	PDE7A	ENST00000522220.1	0.564	1	5.92661768722929e-06	0.000385230149669904	0_50
ENSG00000205268.12	PDE7A	ENST00000523253.1	0.862	1	5.92661768722929e-06	0.000385230149669904	0_50
ENSG00000205268.12	PDE7A	ENST00000935328.1	0.387	1	5.92661768722929e-06	0.000385230149669904	0_50
ENSG00000205268.12	PDE7A	ENST00000935331.1	0.588	1	5.92661768722929e-06	0.000385230149669904	0_50
ENSG00000154096.15	THY1	ENST00000524970.5	0.741	1	1.44320490116056e-13	1.06797162685882e-11	0_50
ENSG00000154096.15	THY1	ENST00000900758.1	0.991	1	1.44320490116056e-13	1.06797162685882e-11	0_50
ENSG00000154096.15	THY1	ENST00000956364.1	0.314	1	1.44320490116056e-13	1.06797162685882e-11	0_50
ENSG00000247092.10	SNHG10	ENST00000554169.4	0.164	1	1.48762916615637e-14	1.11572187461728e-12	0_50
ENSG00000247092.10	SNHG10	ENST00000660378.4	0.644	1	1.48762916615637e-14	1.11572187461728e-12	0_50
ENSG00000247092.10	SNHG10	ENST00000667668.2	0.495	1	1.48762916615637e-14	1.11572187461728e-12	0_50
ENSG00000247092.10	SNHG10	ENST00000685307.3	0.768	1	1.48762916615637e-14	1.11572187461728e-12	0_50
ENSG00000068305.20	MEF2A	ENST00000559036.5	0.645	1	1.36349348101126e-06	9.13540632277541e-05	0_50
ENSG00000068305.20	MEF2A	ENST00000889128.1	0.812	1	1.36349348101126e-06	9.13540632277541e-05	0_50
ENSG00000068305.20	MEF2A	ENST00000889134.1	0.27	1	1.36349348101126e-06	9.13540632277541e-05	0_50
ENSG00000068305.20	MEF2A	ENST00000889162.1	0.781	1	1.36349348101126e-06	9.13540632277541e-05	0_50
ENSG00000068305.20	MEF2A	ENST00000928335.1	0.324	1	1.36349348101126e-06	9.13540632277541e-05	0_50
ENSG00000274322.1	ENSG00000274322	ENST00000617804.1	0.694	1	3.04862066556683e-07	2.10354825924111e-05	0_50
ENSG00000274322.1	ENSG00000274322	ENST00000618770.1	0.501	1	3.04862066556683e-07	2.10354825924111e-05	0_50
ENSG00000105173.15	CCNE1	ENST00000262643.8	0.469	0.929311111111111	2.15598167438889e-06	0.000142294790509667	1_00
ENSG00000105173.15	CCNE1	ENST00000357943.9	0.414	0.929311111111111	2.15598167438889e-06	0.000142294790509667	1_00
ENSG00000105173.15	CCNE1	ENST00000574121.1	0.269	0.929311111111111	2.15598167438889e-06	0.000142294790509667	1_00
ENSG00000105173.15	CCNE1	ENST00000586912.1	0.721	0.974070175438597	2.15598167438889e-06	0.000142294790509667	1_00
ENSG00000163611.12	SPICE1	ENST00000295872.8	0.579	0.929311111111111	5.48360161540183e-09	3.8933571469353e-07	1_00
ENSG00000163611.12	SPICE1	ENST00000460832.1	0.993	1	5.48360161540183e-09	3.8933571469353e-07	1_00
ENSG00000163611.12	SPICE1	ENST00000496105.1	0.187	0.929311111111111	5.48360161540183e-09	3.8933571469353e-07	1_00
ENSG00000163611.12	SPICE1	ENST00000496859.1	0.031	0.4402	5.48360161540183e-09	3.8933571469353e-07	1_00
ENSG00000130731.17	METTL26	ENST00000301686.13	0.368	0.929311111111111	5.16577748211313e-05	0.00320601708628249	1_00
ENSG00000130731.17	METTL26	ENST00000338401.8	0.001	0.0355	5.16577748211313e-05	0.00320601708628249	1_00
