	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
44	DUOXA2	10	0.100711959000301	0.999590106010006	0.999999997545169	2190.97499999998	338409	9	150	0.00370023457716001	Robust across q	art_unpaired	FALSE	FALSE	FALSE
45	SRP72	10	0.193150636434208	0.994598696805831	0.999999997545169	3994.40000000002	321692.5	9	150	0.00363875316776548	Robust across q	art_unpaired	FALSE	FALSE	FALSE
46	ENSG00000274322	10	0.5918213216631	0.802142386837144	0.999999997545169	12326.65	323996.25	9	150	0.0035082406251295	Robust across q	art_unpaired	FALSE	FALSE	FALSE
47	A4GALT	10	0.40967733191883	0.928292467168932	0.999999997545169	8717.75	331015.25	9	150	0.0034360389225179	Robust across q	art_unpaired	FALSE	FALSE	FALSE
48	NPY1R	10	0.147357085986434	0.998098957606929	0.999999997545169	3164.5	334056.25	9	150	0.0034302750130555	Robust across q	art_unpaired	FALSE	FALSE	FALSE
49	FAXDC2	10	0.147638423498024	0.998084622609419	0.999999997545169	3182.97499999998	335366.25	9	150	0.00324290929846632	Robust across q	art_unpaired	FALSE	FALSE	FALSE
50	GDI1	10	0.835308568463791	0.584797716620473	0.999999997545169	17134.625	319090	9	150	0.00306109939858631	Robust across q	art_unpaired	FALSE	FALSE	FALSE
51	GLB1L2	10	0.618928681702218	0.779414427525422	0.999999997545169	12875.475	323599.75	9	150	0.00301209056009546	Robust across q	art_unpaired	FALSE	FALSE	FALSE
52	SNHG10	10	0.138518692949169	0.998511544524378	0.999999997545169	2987.39999999997	335483	9	150	0.00264634633179213	Robust across q	art_unpaired	FALSE	FALSE	FALSE
53	UBP1	10	0.109033456490911	0.999432521606657	0.999999997545169	2338.97499999998	333696.25	9	150	0.00236844899850399	Robust across q	art_unpaired	FALSE	FALSE	FALSE
54	FBXO3	10	0.0564269881378145	0.999964130090027	0.999999997545169	1173.22499999998	323429.75	9	150	0.0017449657174946	Robust across q	art_unpaired	FALSE	FALSE	FALSE
55	ZFP90	10	0.0504085726490754	0.999977897203942	0.999999997545169	1097.65000000002	338723.25	9	150	0.00165932997061254	Robust across q	art_unpaired	FALSE	FALSE	FALSE
56	SPNS2	10	0.0403492709518698	0.999991558700209	0.999999997545169	874.724999999977	337226.25	9	150	0.00147749937968149	Robust across q	art_unpaired	FALSE	FALSE	FALSE
57	SRPRA	10	0.104585866385671	0.999521400170037	0.999999997545169	2272.52500000002	338003.5	9	150	0.00144776341586275	Robust across q	art_unpaired	FALSE	FALSE	FALSE
58	PDE7A	10	0.0512784334925971	0.999976208721937	0.999999997545169	1109.77500000002	336655.5	9	150	0.00143015917755692	Robust across q	art_unpaired	FALSE	FALSE	FALSE
59	NCF1C	10	0.121724936772713	0.999112805119859	0.999999997545169	2621.27500000002	334979.75	9	150	0.00118145556481826	Robust across q	art_unpaired	FALSE	FALSE	FALSE
60	SPIRE2	10	0.00641498224134972	0.999999997545169	0.999999997545169	138.400000000023	335603.25	9	150	0.00113073956119109	Robust across q	art_unpaired	FALSE	FALSE	FALSE
61	TMEM38A	10	0.158325829935968	0.997481218180394	0.999999997545169	3239.5	318281.75	9	150	0.00112932389746461	Robust across q	art_unpaired	FALSE	FALSE	FALSE
62	EPB41L4A-AS1	10	0.349326941872619	0.956450495234693	0.999999997545169	7215.27500000002	321296.75	9	150	0.000960704193813971	Robust across q	art_unpaired	FALSE	FALSE	FALSE
63	SLC9A7	10	0.152256674440707	0.997838181933678	0.999999997545169	3289.97499999998	336125.75	9	150	0.000868919302105184	Robust across q	art_unpaired	FALSE	FALSE	FALSE
64	MCOLN1	10	0.00832535391260113	0.999999992125777	0.999999997545169	180.025000000023	336368.75	9	150	0.000838271912615475	Robust across q	art_unpaired	FALSE	FALSE	FALSE
65	USP38	10	0.0383544358419706	0.999993228445898	0.999999997545169	787.25	319288	9	150	0.000767184379094271	Robust across q	art_unpaired	FALSE	FALSE	FALSE
66	SH3PXD2A	10	0.0277862850660772	0.999998345649987	0.999999997545169	552.625	309375.25	9	150	0.000750655514848993	Robust across q	art_unpaired	FALSE	FALSE	FALSE
67	SAR1B	10	0.0745163516157343	0.999883111639394	0.999999997545169	1621.25	338441.75	9	150	0.000563943354749531	Robust across q	art_unpaired	FALSE	FALSE	FALSE
68	PBX2	10	0.0206142381280654	0.999999556092561	0.999999997545169	450.625	340042.75	9	150	0.000558207276416017	Robust across q	art_unpaired	FALSE	FALSE	FALSE
69	IFIT3	10	0.154927943323707	0.99768581191921	0.999999997545169	3168.97499999998	318181.25	9	150	0.000392864231853338	Robust across q	art_unpaired	FALSE	FALSE	FALSE
70	SYNM	10	0.0626753463976163	0.999943835504821	0.999999997545169	1162.15000000002	288437	9	150	0.000345567364152487	Robust across q	art_unpaired	FALSE	FALSE	FALSE
71	GSKIP	10	0.0144086075702153	0.999999909246288	0.999999997545169	309.349999999977	333974.75	9	150	0.000322715078125948	Robust across q	art_unpaired	FALSE	FALSE	FALSE
72	MCC	10	0.0357768971767019	0.999994998666889	0.999999997545169	766.849999999977	333421.25	9	150	0.000313163693629547	Robust across q	art_unpaired	FALSE	FALSE	FALSE
73	PICALM	10	0.0769193445828335	0.999866411539775	0.999999997545169	1670.22499999998	337773	9	150	0.000284302672991471	Robust across q	art_unpaired	FALSE	FALSE	FALSE
74	ENSG00000291072	10	0.00721811929212615	0.999999995839119	0.999999997545169	156.150000000023	336514.25	9	150	0.000264088088142141	Robust across q	art_unpaired	FALSE	FALSE	FALSE
75	RELCH	10	0.0522618855193737	0.999974184111477	0.999999997545169	1125.875	335112.5	9	150	0.000175310659610805	Robust across q	art_unpaired	FALSE	FALSE	FALSE
76	NSA2	10	0.161514407156788	0.997277925234702	0.999999997545169	3361.15000000002	323714.5	9	150	0.000157678137602924	Robust across q	art_unpaired	FALSE	FALSE	FALSE
77	PMEPA1	10	0.020319463588549	0.999999583471808	0.999999997545169	427.875	327559.5	9	150	8.17488959573925e-05	Robust across q	art_unpaired	FALSE	FALSE	FALSE
