q_0	q_0.222222222222222	q_0.444444444444444	q_0.666666666666667	q_0.888888888888889	q_1.11111111111111	q_1.33333333333333	q_1.55555555555556	q_1.77777777777778	q_2
PMEPA1	0	5.96952766442734e-05	0.000119023264862417	0.000177987285333581	0.000236590628537425	0.000294836555044364	0.000352728295796911	0.000410269052401047	0.000467461997400141	0.000524310274555795
CXCL12	0	0.105184288685926	0.211657405986065	0.322293620566857	0.440150684574655	0.568589928019444	0.71141043411496	0.873003620076152	1.05853552448362	1.274165460468
EXOC1	0	0.01241969441208	0.0250617262191909	0.0380506890559238	0.0515147918785507	0.0655877147235959	0.08041053764056	0.096133774318564	0.112919543524297	0.130943913642477
FAM114A2	2.22044604925031e-16	0.0139161531174234	0.0269821531899065	0.0393697088604763	0.0512366661266725	0.0627299000686561	0.0739879559299146	0.0851434936617641	0.0963255852198952	0.107661910151381
ANGEL2	0	0.00429916464298606	0.00835969309259152	0.0122031938595272	0.0158491758047639	0.0193152859245047	0.022617517410144	0.0257703919929559	0.0287871200150325	0.0316797411829759
TMEM183A	0	0.0220645682725022	0.0445274924318988	0.0675538887275016	0.0913211111794541	0.116021208041018	0.141863680320995	0.169078593019123	0.197920097154219	0.22867042929333
HDAC2	0	0.00580756366584453	0.0115934233792241	0.0173784036584437	0.0231839917039493	0.0290324880612773	0.0349471684329177	0.0409524581786539	0.0470741211966937	0.0533394650494765
ATG5	0	0.0102286852139114	0.0202007825351343	0.0299619709865008	0.0395543666581683	0.0490169813552512	0.0583861310981286	0.0676958006447975	0.0769779694643457	0.0862629039416569
SH3PXD2A	0	6.72058962134038e-05	0.000133042409125483	0.000197555889151935	0.000260791182461251	0.000322791682948908	0.000383599382381306	0.000443254918767799	0.00050179762302971	0.000559265564028522
IFIT3	1.11022302462516e-16	0.000156740378877172	0.000314154203181483	0.000472250237671945	0.000631037321116134	0.000790524367102918	0.000950720364865987	0.00111163438010333	0.00127327555582576	0.00143565311319582
RRAGC	0	0	0	0	0	0	0	0	0	0
KPNA6	0	0	0	0	0	0	0	0	0	0
DES	0	0	0	0	0	0	0	0	0	0
PBX2	0	0.00808000478403272	0.0154149292593439	0.0221110840085466	0.0282580156869744	0.0339314244419988	0.0391955412980241	0.0441050696611456	0.0487067744604793	0.053040785970109
IRF3	1.11022302462516e-16	0.0129025746736784	0.0257218102413503	0.0385215839451	0.0513663478884626	0.0643216844806367	0.0774548899659213	0.0908355932307393	0.104536417762589	0.118633695437607
SPIRE2	0	0.00114477997353118	0.002299709073232	0.00346627169432323	0.00464599846476832	0.00584046978782293	0.00705131955185734	0.00828023901844533	0.00952898090028872	0.010799363641228
CYBB	0	3.63254061706167e-05	7.29301415670402e-05	0.000109817177310401	0.00014698951805725	0.000184450202397768	0.000222202303255203	0.000260248928290885	0.000298593220320648	0.000337238357724923
ASMTL	0	0.000193905044889983	0.000377588836395515	0.000551656738297157	0.000716676145159356	0.000873178953050501	0.00102166386532487	0.00116259854466185	0.00129642162183588	0.00142354457093852
ETFRF1	1.11022302462516e-16	0.00215306744577976	0.00420279083785435	0.00615580003741301	0.00801828375626745	0.0097960201654863	0.0114944053252306	0.0131184795938866	0.0146729521629334	0.0161622238532115
PDE7A	0	0.00574676180069172	0.0114514773270883	0.0171258068848079	0.0227812941436626	0.0284293990124826	0.0340815302129218	0.0397490776589363	0.0454434447480573	0.0511760806702137
CDH24	0	0.0215687506040664	0.0430877703312107	0.0646679955614888	0.0864203216347574	0.108456376801044	0.130889298954117	0.15383452126309	0.177410572869223	0.201739900918922
RELCH	0	0.0143515313705774	0.0290289546679308	0.0441057652615759	0.0596595191709526	0.0757724465406009	0.0925321139286508	0.110032141713232	0.128372983520794	0.147662775251974
ZFP90	0	0.021559523707233	0.0437351982344	0.0667149069381715	0.0906951732226288	0.11588421585587	0.142505073765224	0.170798871092884	0.201028291519791	0.23348133115993
SAR1B	0	0.00115854979799255	0.00231508965468006	0.00347230187903214	0.00463287317832162	0.00579950443234911	0.00697492048527426	0.0081618799969748	0.00936318539611054	0.0105816929770155
HIPK2	0	0	0	0	0	0	0	0	0	0
PPP1R2	0	0.000808825738390647	0.00167254033561801	0.00259572531653351	0.00358338208133546	0.00464097276656572	0.00577446524634451	0.00699038270543837	0.00829585826167355	0.00969869516615685
ENSG00000254706	0	0.00640340502917686	0.0130367664091182	0.0199193093089606	0.0270715557597265	0.0345154258810107	0.0422743469650138	0.0503733710500166	0.058839301666871	0.0677008304978406
GSKIP	0	0.0239221274436793	0.042295077657876	0.0566063372499779	0.0679326641318215	0.077056338860112	0.0845479328171488	0.0908253667880055	0.0961961503976887	0.100887667574816
GDI1	1.11022302462516e-16	0.000422117922647299	0.000829821542836395	0.00122371287323153	0.00160436691190058	0.00197233291676468	0.0023281356178313	0.00267227637028897	0.00300523425145622	0.00332746710437104
