	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
32	CYBB	10	0.425955503876386	0.919396037335929	1	2.7746895342689	4.04969135154839	9	150	0.40658479951425	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
33	ATG5	10	1.01485726043298	0.431135472572053	1	0.31287210203396	0.463431630653112	9	150	0.403027950092414	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
34	NSA2	10	0.0567418707831649	0.999963265367127	1	3.42967666439011	5.08152229199018	9	150	0.402960462088494	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
35	SNHG10	10	0.190260067594167	0.994897702062044	1	0.659871512271891	1.00475294498835	9	150	0.396408637031536	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
36	ANGEL2	10	0.25728893484523	0.984564259466463	1	0.194732878348017	0.318007043759595	9	150	0.379788797305991	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
37	PBX2	10	0.00617224698809974	0.999999997934385	1	1.97666658454973	3.38959588712992	9	150	0.368350708706767	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
38	RELCH	10	0.121887045416457	0.999108029314348	1	0.264453091767147	0.471271200474578	9	150	0.359445915481964	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
39	RAP1GDS1	10	0.865234577263842	0.557925382801811	1	0.550283012590499	0.994419709076452	9	150	0.356238779715922	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
40	ZNF710	10	0.211442550697973	0.992424151178763	1	0.226821347769543	0.432605922574159	9	150	0.343967193912561	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
41	FAM114A2	10	1.50962458038884	0.150055600041121	1	0.55722812146337	1.08487875176284	9	150	0.339337305353699	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
42	NPY1R	10	0.0399711318699113	0.99999189699086	1	2.02826730399431	4.01914778791724	9	150	0.335394093702469	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
43	FOXJ2	10	0.535331800835615	0.846822333055018	1	3.27560981681983	6.65859472190767	9	150	0.329730458442867	Robust across q	srh_unpaired	FALSE	FALSE	FALSE
