	gene	p_interaction	p_raw	n_observations	n_subjects	n_effective	rho_ar1	test_statistic	effect_size	df_residual	model_converged	slope_diff	arima_transformation	bounded_support_model	family_used	heteroscedasticity_detected	variance_ratio_q	fit_method	model_used	fallback_level	correlation_structure	test_type	weights_source	shapiro_p_value	residuals_normal	n_residuals_tested	ci_weighted	adj_p_interaction	gene_id	gene_name
23	SRPRA	0.00162204774581709	0.00162204774581709	160	16	160	NA	5.3511735384084	0.764731441804457	138	TRUE	-0.0565574804471108	FALSE	FALSE	Gaussian	FALSE	1.520147459904	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	5.18784751894184e-14	FALSE	160	FALSE	0.0875905782741229	ENSG00000182934.13	SRPRA
24	ZNF714	0.00239851746355524	0.00239851746355524	160	16	160	NA	5.04356170515887	0.308541251712637	138	TRUE	0.0413216919015627	FALSE	FALSE	Gaussian	TRUE	2.69528482451255	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.83577423355923e-09	FALSE	160	TRUE	0.127121425568428	ENSG00000160352.17	ZNF714
25	A4GALT	0.00287614412469983	0.00287614412469983	160	16	160	NA	4.90103472482583	0.229325933167373	138	TRUE	-0.0624900079072235	FALSE	FALSE	Gaussian	FALSE	1.71629587801601	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	1.47258306589283e-08	FALSE	160	FALSE	0.149559494484391	ENSG00000128274.18	A4GALT
26	CYP2W1	0.00329933624778944	0.00329933624778944	160	16	160	NA	4.79340894220677	0.312418545590752	138	TRUE	-0.0967975838094115	FALSE	FALSE	Gaussian	TRUE	3.09362107845157	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	2.51353875588671e-06	FALSE	160	TRUE	0.168266148637262	ENSG00000073067.14	CYP2W1
27	PNPT1	0.00447118971274485	0.00447118971274485	160	16	160	NA	4.55542131479475	0.227900547429809	138	TRUE	-0.0420185318164495	FALSE	FALSE	Gaussian	TRUE	2.72852127031776	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.0181171691803288	FALSE	160	TRUE	0.223559485637242	ENSG00000138035.16	PNPT1
28	TLN2	0.00481409305747005	0.00481409305747005	160	16	160	NA	4.49761988114996	0.303551594165421	138	TRUE	0.0345409226602504	FALSE	FALSE	Gaussian	TRUE	6.19287421678406	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	0.00296062050258788	FALSE	160	TRUE	0.235890559816032	ENSG00000171914.18	TLN2
29	CENPV	0.00502056763908387	0.00502056763908387	160	16	160	NA	4.46477931526994	0.479371819492236	138	TRUE	-0.0190525545304766	FALSE	FALSE	Gaussian	FALSE	13.2565709987013	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	1.59173184088832e-12	FALSE	160	FALSE	0.240987246676026	ENSG00000166582.12	CENPV
30	THOC6	0.00612769758356158	0.00612769758356158	160	16	160	NA	4.30903124700424	0.615262624397855	138	TRUE	-0.0798533737279454	FALSE	FALSE	Gaussian	FALSE	1.82082462783993	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	none	9.41844108013629e-14	FALSE	160	FALSE	0.288001786427394	ENSG00000131652.15	THOC6
31	DUOXA2	0.00872487381196176	0.00872487381196176	160	16	160	NA	0.895390566104677	0.257212969941437	135.199876722777	TRUE	-0.22944580254095	FALSE	FALSE	Gaussian	FALSE	1	mgcv::gamm	gam_independence	4	none	anova_Chisq	none	2.64996148843701e-09	FALSE	140	FALSE	0.401344195350241	ENSG00000140274.15	DUOXA2
32	TM7SF2	0.0115762224823113	0.0115762224823113	160	16	160	NA	3.81258403207137	0.493035332376584	138	TRUE	-0.0448004897553488	FALSE	FALSE	Gaussian	TRUE	1.17346255773939	lme_ns_car1	lme_ns_car1	1	car1_q_distance_within_subject_condition	marginal_F	data_adaptive_heteroscedasticity	8.414493095982e-11	FALSE	160	TRUE	0.520930011704007	ENSG00000149809.18	TM7SF2
