q_0.01	q_0.05	q_0.1	q_0.15	q_0.2	q_0.25	q_0.3	q_0.35	q_0.4	q_0.45	q_0.5	q_0.55	q_0.6	q_0.65	q_0.7	q_0.75	q_0.8	q_0.85	q_0.9	q_0.95	q_1	q_1.05	q_1.1	q_1.15	q_1.2	q_1.25	q_1.3	q_1.35	q_1.4	q_1.45	q_1.5	q_1.55	q_1.6	q_1.65	q_1.7	q_1.75	q_1.8	q_1.85	q_1.9	q_1.95	q_2
TM7SF2	0.0173250495662283	0.0183693678796464	0.0196718011330393	0.0209583011775471	0.0222152188384126	0.0234291128840877	0.0245870679747209	0.0256769825199311	0.0266878158223554	0.0276097874996168	0.0284345258334591	0.0291551650261017	0.0297663940913203	0.030264462132474	0.0306471460345259	0.0309136871835333	0.03106470384479	0.0311020854272122	0.0310288741864639	0.030849139106678	0.0305678458580507	0.0300404576860915	0.0288964359691653	0.0277025093767356	0.0264683894353062	0.0252039547917771	0.0239190906946705	0.0226235306680803	0.021326704942568	0.0200375999677543	0.0187646328783499	0.0175155441436504	0.0162973108397658	0.015116082094961	0.0139771373288737	0.0128848669945399	0.0118427746923428	0.0108534988026781	0.00991885121257191	0.00903987031006874	0.00821688519414045
UBP1	0.004139885343197	0.00438872874605004	0.00469889827681157	0.00500505571928618	0.00530393366074215	0.00559231858211489	0.00586712708825604	0.00612547478966764	0.00636473529748442	0.00658258766634855	0.00677705150058419	0.0069465097401189	0.00708971980200322	0.00720581423814868	0.00729429237385579	0.00735500453006293	0.00738813043390483	0.0073941533228793	0.00737383108364331	0.0073281655694565	0.00725837103642403	0.00713017591154804	0.00685574773140478	0.00656967976581977	0.00627429680063838	0.00597195894645862	0.00566502339089697	0.00535580679290385	0.00504654940026207	0.00473938190975594	0.00443629597757501	0.00413911913145815	0.00384949464554475	0.00356886672610591	0.00329847113497871	0.00303933116148372	0.00279225865564962	0.00255785966632873	0.0023365440949427	0.00212853868352275	0.00193390260539641
SPICE1	0.00609287165285393	0.00649241505399805	0.00699602294968642	0.00749974248788716	0.00799856565484833	0.00848743787565141	0.00896137575383818	0.00941557806171303	0.0098455256141876	0.010247066806731	0.0106164868324317	0.0109505597788453	0.0112465838376299	0.0115024006735556	0.0117164005680394	0.0118875152828773	0.0120152007132299	0.0120994113596714	0.012140568496282	0.0121395236918005	0.0120975190930832	0.0119563376943864	0.0115660027791409	0.0111504583680008	0.0107132914358205	0.0102582449629133	0.00978915423131019	0.00930988182587375	0.00882425326240899	0.00833599514885766	0.00784867767534878	0.00736566302985876	0.00689006106100729	0.00642469317628812	0.00597206509511046	0.00553434869562717	0.00511337282627662	0.00471062261867564	0.00432724655517437	0.00396407032397229	0.00362161634338704
NPY1R	0.145303615716021	0.156617865733913	0.171376430603406	0.18677329128283	0.202754378594304	0.219262051821671	0.236236821717778	0.253619039367225	0.271350473399302	0.289375713817446	0.307643359276748	0.326106963723236	0.344725735984598	0.363465000794048	0.382296441067928	0.401198148836619	0.420154516285985	0.439155999438438	0.458198785774601	0.47728439428271	0.496419232678099	0.51304776709717	0.519989271370878	0.526273572088083	0.531883557010258	0.536806567979828	0.541034532638396	0.544564022513597	0.547396234026374	0.54953689161097	0.550996074925637	0.551787974887864	0.551930585817579	0.551445343154025	0.550356717895947	0.548691780011418	0.546479743532065	0.543751505895098	0.540539193378699	0.536875723281616	0.532794391940882
CENPV	0.0944559729170168	0.0997037976059278	0.106221720023317	0.112633745782738	0.11887660564711	0.12488883561264	0.130612148485998	0.135992633409137	0.140981743793517	0.145537051689997	0.149622763436827	0.153210005950551	0.156276904263065	0.158808478451186	0.160796392047591	0.162238584831482	0.163138821261546	0.163506182497073	0.163354525685305	0.162701929594571	0.161570141218308	0.159187745737836	0.153572154098129	0.147709622947501	0.14164235677387	0.135413769618281	0.129067817417964	0.122648321874058	0.116198305155315	0.109759354590507	0.103371035390884	0.0970703674311903	0.0908913793259108	0.0848647496489509	0.0790175413851318	0.073373031816765	0.0679506362820204	0.0627659208136774	0.0578306957553126	0.0531531801817648	0.048738225387891
METTL26	0.0109345451395677	0.0116585962227245	0.0125732909152165	0.0134907698504995	0.0144022497827579	0.0152988287156478	0.01617169040314	0.0170122979473593	0.0178125688544276	0.0185650258822052	0.0192629201463891	0.0199003250072002	0.0204722010542345	0.0209744339260526	0.0214038476958079	0.0217581971350077	0.022036142386654	0.0222372095133235	0.0223617401202319	0.0224108328692182	0.0223862792658776	0.0221795492274717	0.0215103103745846	0.0207924205372086	0.0200320084111287	0.019235539589306	0.0184097072564794	0.0175613188734273	0.0166971821898178	0.0158239939722837	0.014948234714997	0.0140760723184937	0.0132132772963507	0.0123651515270572	0.011536471946944	0.0107314499208954	0.00995370637312236	0.00920626214980278	0.00849154255184117	0.007811394543762	0.00716711482838371
PTGER4	0.1153938624064	0.122609994584251	0.131709158310612	0.140823115624123	0.149871668574673	0.158774266592221	0.167451776463647	0.175828117424951	0.183831700618114	0.191396631390894	0.198463652685562	0.204980826010747	0.210903961718194	0.216196821663989	0.22083112459418	0.22478638803427	0.22804964069999	0.230615037278198	0.232483403680344	0.233661736304025	0.234162674073823	0.232839250050166	0.226713878234011	0.220101648804939	0.213052697348399	0.205620919125986	0.197863118788457	0.189838097867159	0.181605706076726	0.173225884253244	0.164757727183801	0.156258593601548	0.147783288280871	0.139383337630749	0.131106375700956	0.122995652399602	0.115089670318469	0.107421951221292	0.10002092828521	0.0929099558569446	0.0861074249805894
MCC	0.0461398478851508	0.0489444952883298	0.0524526883391883	0.0559311535817016	0.0593447790274074	0.0626588157484957	0.065839681991427	0.0688556945726829	0.0716777006416262	0.0742795919484997	0.0766386929298991	0.0787360222959614	0.0805564347147313	0.0820886542837243	0.0833252146833112	0.0842623223728035	0.0848996592180849	0.0852401399012595	0.0852896377374093	0.0850566904516819	0.084552195326345	0.0833720577670207	0.0804769162980997	0.0774315961973555	0.0742604345099877	0.0709885264361851	0.0676413197508554	0.0642442057481166	0.0608221185209292	0.0573991541579882	0.0539982206393607	0.050640727879698	0.0473463255850801	0.0441326944729827	0.0410153940941361	0.0380077681398462	0.0351209058643331	0.0323636562277682	0.029742689674009	0.027262601166315	0.0249260472475764
REG3A	0.362973983150715	0.359304815295237	0.354320012096863	0.348895627147856	0.343039803234686	0.336765621914901	0.330090736792052	0.323036897394521	0.315629396376212	0.307896473315763	0.299868706123675	0.291578416659304	0.283059111429786	0.274344972001716	0.265470403700588	0.256469645822168	0.247376442255098	0.238223768250934	0.229043607061407	0.219866769171303	0.210722746704255	0.200635975654381	0.187279399418491	0.17448590387833	0.162249227132429	0.150565128131713	0.139430539822354	0.128842814607927	0.118799068949461	0.10929563225448	0.100327603001576	0.0918885124622435	0.0839700936026003	0.0765621499723222	0.0696525168089669	0.0632271043719059	0.0572700118030714	0.0517636986766527	0.0466892008809958	0.0420263775586064	0.0377541764570541
USP38	0.0111360801373196	0.0118461589973334	0.0127382826371939	0.0136272439701852	0.0145040605265382	0.0153597386683768	0.0161854837665905	0.0169728956764591	0.0177141419810193	0.018402103638413	0.0190304899474802	0.0195939218927409	0.0200879847641266	0.0205092523600178	0.0208552860373042	0.0211246123915186	0.0213166834969844	0.0214318234972075	0.0214711650010249	0.0214365782953196	0.021330595901145	0.0210510331436268	0.0203349407093021	0.019577291500794	0.0187844745914924	0.0179631089346206	0.0171199326547681	0.016261691065417	0.0153950266933213	0.0145263745289331	0.0136618655013202	0.0128072408076998	0.0119677792346574	0.0111482390227452	0.0103528151872194	0.00958511255664996	0.00884813416833747	0.00814428410050017	0.00747538335420169	0.00684269704186174	0.00624697090294064
