gene	gene_name	n_transcripts	max_delta_influence	n_switching_transcripts	n_fdr_significant	q_value
ENSG00000171914.18	TLN2	9	0.0854462718753833	2	0	1.5
ENSG00000174780.18	SRP72	5	0.0264577991810992	1	0	1.5
ENSG00000154096.15	THY1	3	0.101685414454228	0	0	1.5
ENSG00000149328.17	GLB1L2	3	0.0462282895183863	1	0	1.5
ENSG00000247092.10	SNHG10	4	0.0641120567391397	0	0	1.5
ENSG00000068305.20	MEF2A	5	0.0596472326129678	3	1	1.5
ENSG00000274322.1	ENSG00000274322	2	0.0817557655575287	0	0	1.5
ENSG00000128274.18	A4GALT	4	0.0819311821239707	0	0	1.5
ENSG00000122912.16	SLC25A16	6	0.0526383986297342	1	0	2
ENSG00000153560.13	UBP1	4	0.019723391056145	0	0	2
ENSG00000166582.12	CENPV	5	0.0191191876968527	1	0	2
ENSG00000073067.14	CYP2W1	2	0.39246618797276	0	0	2
ENSG00000071243.17	ING3	6	0.060135127040936	3	0	2
ENSG00000181061.15	HIGD1A	3	0.111458884764074	0	1	2
ENSG00000140274.15	DUOXA2	2	0.391079319061976	1	0	2
ENSG00000170271.12	FAXDC2	5	0.137343468087916	0	0	2
ENSG00000131652.15	THOC6	3	0.0326655435123105	1	0	2
ENSG00000182253.15	SYNM	2	0.0702921084327797	0	0	2
ENSG00000182934.13	SRPRA	3	0.0202697040579068	1	0	2
ENSG00000138698.16	RAP1GDS1	8	0.0696080678933584	0	0	2
ENSG00000028116.19	VRK2	5	0.0238517085961144	2	0	2
ENSG00000107562.18	CXCL12	3	0.111890368744757	0	0	2
ENSG00000090989.19	EXOC1	5	0.07208418115099	1	0	2
ENSG00000174606.15	ANGEL2	7	0.0352337767448032	1	0	2
ENSG00000163444.13	TMEM183A	7	0.0520708082847875	2	0	2
ENSG00000196591.13	HDAC2	6	0.109037898155319	2	0	2
ENSG00000057663.17	ATG5	5	0.0473707557648369	2	0	2
ENSG00000126456.17	IRF3	5	0.0462043519489848	2	0	2
ENSG00000204991.12	SPIRE2	6	0.0205731093330086	0	0	2
ENSG00000169093.17	ASMTL	2	0.0356447627783274	0	0	2
ENSG00000205707.12	ETFRF1	3	0.0857593309495321	0	0	2
ENSG00000100744.16	GSKIP	3	0.191165857933275	1	0	2
ENSG00000138035.16	PNPT1	5	0.134225655415361	2	1	2
ENSG00000171914.18	TLN2	9	0.108036352289845	2	0	2
ENSG00000174780.18	SRP72	5	0.0215337648140321	1	0	2
ENSG00000154096.15	THY1	3	0.107819778119036	0	0	2
ENSG00000149328.17	GLB1L2	3	0.049875086795935	1	0	2
ENSG00000247092.10	SNHG10	4	0.0732075774502973	0	0	2
ENSG00000068305.20	MEF2A	5	0.0716114148612886	1	2	2
ENSG00000274322.1	ENSG00000274322	2	0.075943766039991	0	0	2
ENSG00000128274.18	A4GALT	4	0.085653305431381	1	0	2
