gene	gene_name	transcript_id	pvalue	fdr	sait_p_interaction	sait_adj_p_interaction	q_value
ENSG00000071243.17	ING3	ENST00000875858.1	0.001	0.00405555555555556	6.94757558735389e-12	4.86330291114772e-10	0
ENSG00000181061.15	HIGD1A	ENST00000321331.12	1	1	2.65229424186339e-05	0.0013261471209317	0
ENSG00000181061.15	HIGD1A	ENST00000470543.1	0.001	0.00405555555555556	2.65229424186339e-05	0.0013261471209317	0
ENSG00000181061.15	HIGD1A	ENST00000884327.1	1	1	2.65229424186339e-05	0.0013261471209317	0
ENSG00000140274.15	DUOXA2	ENST00000323030.6	0.00441988950276243	0.0165462530103414	5.39703674561379e-12	3.83189608938579e-10	0
ENSG00000140274.15	DUOXA2	ENST00000350243.10	0.001	0.00405555555555556	5.39703674561379e-12	3.83189608938579e-10	0
ENSG00000170271.12	FAXDC2	ENST00000326080.10	1	1	1.08494070092841e-06	6.50964420557045e-05	0
ENSG00000170271.12	FAXDC2	ENST00000517448.5	1	1	1.08494070092841e-06	6.50964420557045e-05	0
ENSG00000170271.12	FAXDC2	ENST00000519501.5	0.001	0.00405555555555556	1.08494070092841e-06	6.50964420557045e-05	0
ENSG00000170271.12	FAXDC2	ENST00000522825.1	0.001	0.00405555555555556	1.08494070092841e-06	6.50964420557045e-05	0
ENSG00000170271.12	FAXDC2	ENST00000524250.5	1	1	1.08494070092841e-06	6.50964420557045e-05	0
ENSG00000131652.15	THOC6	ENST00000326266.13	1	1	1.69018007698512e-10	1.14932245234988e-08	0
ENSG00000131652.15	THOC6	ENST00000574957.1	0.001	0.00405555555555556	1.69018007698512e-10	1.14932245234988e-08	0
ENSG00000131652.15	THOC6	ENST00000915279.1	1	1	1.69018007698512e-10	1.14932245234988e-08	0
ENSG00000182253.15	SYNM	ENST00000328642.11	1	1	3.17686182061874e-09	2.06496018340218e-07	0
ENSG00000182253.15	SYNM	ENST00000336292.11	1	1	3.17686182061874e-09	2.06496018340218e-07	0
ENSG00000182934.13	SRPRA	ENST00000332118.11	1	1	6.60914160832452e-06	0.000382465475973376	0
ENSG00000182934.13	SRPRA	ENST00000528744.5	1	1	6.60914160832452e-06	0.000382465475973376	0
ENSG00000182934.13	SRPRA	ENST00000531104.1	0.001	0.00405555555555556	6.60914160832452e-06	0.000382465475973376	0
ENSG00000138698.16	RAP1GDS1	ENST00000339360.9	1	1	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000380158.8	0.001	0.00405555555555556	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000408927.8	1	1	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000453712.6	0.001	0.00405555555555556	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000505378.5	0.001	0.00405555555555556	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000510870.5	0.036	0.119454545454545	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000511379.5	1	1	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000138698.16	RAP1GDS1	ENST00000514139.2	1	1	6.85053006162536e-20	5.00088694498651e-18	0
ENSG00000028116.19	VRK2	ENST00000340157.9	1	1	2.27451382123379e-05	0.00116000204882923	0
ENSG00000028116.19	VRK2	ENST00000909273.1	1	1	2.27451382123379e-05	0.00116000204882923	0
ENSG00000028116.19	VRK2	ENST00000909274.1	1	1	2.27451382123379e-05	0.00116000204882923	0
ENSG00000028116.19	VRK2	ENST00000916219.1	1	1	2.27451382123379e-05	0.00116000204882923	0
ENSG00000028116.19	VRK2	ENST00000970468.1	1	1	2.27451382123379e-05	0.00116000204882923	0
ENSG00000107562.18	CXCL12	ENST00000343575.11	1	1	4.63027061494089e-88	3.51900566735508e-86	0
ENSG00000107562.18	CXCL12	ENST00000374426.6	0.001	0.00405555555555556	4.63027061494089e-88	3.51900566735508e-86	0
ENSG00000107562.18	CXCL12	ENST00000374429.6	1	1	4.63027061494089e-88	3.51900566735508e-86	0
ENSG00000090989.19	EXOC1	ENST00000346134.11	0.001	0.00405555555555556	1.24007516662222e-10	8.55651864969335e-09	0
ENSG00000090989.19	EXOC1	ENST00000381295.7	0.001	0.00405555555555556	1.24007516662222e-10	8.55651864969335e-09	0
ENSG00000090989.19	EXOC1	ENST00000505501.1	1	1	1.24007516662222e-10	8.55651864969335e-09	0
ENSG00000090989.19	EXOC1	ENST00000511971.5	1	1	1.24007516662222e-10	8.55651864969335e-09	0
ENSG00000090989.19	EXOC1	ENST00000892248.1	1	1	1.24007516662222e-10	8.55651864969335e-09	0
ENSG00000174606.15	ANGEL2	ENST00000360506.6	1	1	9.61511333533214e-05	0.00442295213425278	0
ENSG00000174606.15	ANGEL2	ENST00000366962.8	0.001	0.00405555555555556	9.61511333533214e-05	0.00442295213425278	0
ENSG00000174606.15	ANGEL2	ENST00000460337.5	1	1	9.61511333533214e-05	0.00442295213425278	0
ENSG00000174606.15	ANGEL2	ENST00000473303.1	1	1	9.61511333533214e-05	0.00442295213425278	0
ENSG00000174606.15	ANGEL2	ENST00000476904.5	1	1	9.61511333533214e-05	0.00442295213425278	0
ENSG00000174606.15	ANGEL2	ENST00000481918.1	1	1	9.61511333533214e-05	0.00442295213425278	0
ENSG00000174606.15	ANGEL2	ENST00000498650.1	0.001	0.00405555555555556	9.61511333533214e-05	0.00442295213425278	0
ENSG00000163444.13	TMEM183A	ENST00000367242.4	0.001	0.00405555555555556	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000163444.13	TMEM183A	ENST00000463015.1	1	1	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000163444.13	TMEM183A	ENST00000468449.5	1	1	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000163444.13	TMEM183A	ENST00000881137.1	0.001	0.00405555555555556	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000163444.13	TMEM183A	ENST00000881142.1	0.015	0.0521428571428571	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000163444.13	TMEM183A	ENST00000881143.1	1	1	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000163444.13	TMEM183A	ENST00000912608.1	1	1	1.04823368571226e-07	6.70869558855849e-06	0
ENSG00000196591.13	HDAC2	ENST00000368632.6	0.001	0.00405555555555556	2.64336906751778e-10	1.77105727523691e-08	0
ENSG00000196591.13	HDAC2	ENST00000425835.6	0.001	0.00405555555555556	2.64336906751778e-10	1.77105727523691e-08	0
ENSG00000196591.13	HDAC2	ENST00000519108.5	1	1	2.64336906751778e-10	1.77105727523691e-08	0
ENSG00000196591.13	HDAC2	ENST00000520746.1	1	1	2.64336906751778e-10	1.77105727523691e-08	0
ENSG00000196591.13	HDAC2	ENST00000521233.1	0.001	0.00405555555555556	2.64336906751778e-10	1.77105727523691e-08	0
ENSG00000196591.13	HDAC2	ENST00000916849.1	0.026	0.0882790697674418	2.64336906751778e-10	1.77105727523691e-08	0
ENSG00000057663.17	ATG5	ENST00000369070.5	1	1	3.83411936208659e-06	0.000226213042363109	0
ENSG00000057663.17	ATG5	ENST00000369076.8	1	1	3.83411936208659e-06	0.000226213042363109	0
ENSG00000057663.17	ATG5	ENST00000476518.1	1	1	3.83411936208659e-06	0.000226213042363109	0
ENSG00000057663.17	ATG5	ENST00000646025.1	1	1	3.83411936208659e-06	0.000226213042363109	0
ENSG00000057663.17	ATG5	ENST00000855920.1	1	1	3.83411936208659e-06	0.000226213042363109	0
ENSG00000126456.17	IRF3	ENST00000377139.8	1	1	1.95984669747031e-05	0.00103871874965927	0
ENSG00000126456.17	IRF3	ENST00000595240.5	0.001	0.00405555555555556	1.95984669747031e-05	0.00103871874965927	0
ENSG00000126456.17	IRF3	ENST00000597636.5	1	1	1.95984669747031e-05	0.00103871874965927	0
ENSG00000126456.17	IRF3	ENST00000602190.1	1	1	1.95984669747031e-05	0.00103871874965927	0
ENSG00000126456.17	IRF3	ENST00000890747.1	1	1	1.95984669747031e-05	0.00103871874965927	0
ENSG00000204991.12	SPIRE2	ENST00000378247.8	1	1	2.06938784747408e-05	0.00107608168068652	0
ENSG00000204991.12	SPIRE2	ENST00000561883.1	1	1	2.06938784747408e-05	0.00107608168068652	0
ENSG00000204991.12	SPIRE2	ENST00000562029.5	1	1	2.06938784747408e-05	0.00107608168068652	0
ENSG00000204991.12	SPIRE2	ENST00000563972.1	1	1	2.06938784747408e-05	0.00107608168068652	0
ENSG00000204991.12	SPIRE2	ENST00000566337.5	1	1	2.06938784747408e-05	0.00107608168068652	0
ENSG00000204991.12	SPIRE2	ENST00000569108.5	0.001	0.00405555555555556	2.06938784747408e-05	0.00107608168068652	0
ENSG00000169093.17	ASMTL	ENST00000381317.9	1	1	0.000104103601813984	0.00468466208162928	0
ENSG00000169093.17	ASMTL	ENST00000474865.6	0.403	1	0.000104103601813984	0.00468466208162928	0
ENSG00000205707.12	ETFRF1	ENST00000381356.9	1	1	6.60803191287486e-06	0.000382465475973376	0
ENSG00000205707.12	ETFRF1	ENST00000555151.5	1	1	6.60803191287486e-06	0.000382465475973376	0
ENSG00000205707.12	ETFRF1	ENST00000557540.7	1	1	6.60803191287486e-06	0.000382465475973376	0
ENSG00000100744.16	GSKIP	ENST00000438650.5	0.42	1	1.39784308687446e-18	1.00644702254961e-16	0
ENSG00000100744.16	GSKIP	ENST00000554182.5	0.171	0.517037070668089	1.39784308687446e-18	1.00644702254961e-16	0
ENSG00000100744.16	GSKIP	ENST00000555181.6	0.889	1	1.39784308687446e-18	1.00644702254961e-16	0
ENSG00000138035.16	PNPT1	ENST00000447944.7	1	1	4.835569485359e-05	0.00232107335297232	0
ENSG00000138035.16	PNPT1	ENST00000867136.1	0.001	0.00405555555555556	4.835569485359e-05	0.00232107335297232	0
ENSG00000138035.16	PNPT1	ENST00000917024.1	1	1	4.835569485359e-05	0.00232107335297232	0
ENSG00000138035.16	PNPT1	ENST00000917025.1	0.18	0.5256	4.835569485359e-05	0.00232107335297232	0
ENSG00000138035.16	PNPT1	ENST00000949804.1	0.001	0.00405555555555556	4.835569485359e-05	0.00232107335297232	0
ENSG00000171914.18	TLN2	ENST00000467297.1	1	1	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000472902.1	1	1	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000474847.2	1	1	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000489129.5	1	1	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000559908.1	0.001	0.00405555555555556	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000561311.5	0.015	0.0521428571428571	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000636159.2	0.001	0.00405555555555556	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000964496.1	0.065	0.210888888888889	6.84690191628913e-05	0.00321804390065589	0
ENSG00000171914.18	TLN2	ENST00000964498.1	0.001	0.00405555555555556	6.84690191628913e-05	0.00321804390065589	0
ENSG00000174780.18	SRP72	ENST00000504757.2	1	1	1.12541704064407e-09	7.42775246825084e-08	0
ENSG00000174780.18	SRP72	ENST00000505314.2	1	1	1.12541704064407e-09	7.42775246825084e-08	0
ENSG00000174780.18	SRP72	ENST00000642900.1	1	1	1.12541704064407e-09	7.42775246825084e-08	0
ENSG00000174780.18	SRP72	ENST00000646537.1	1	1	1.12541704064407e-09	7.42775246825084e-08	0
ENSG00000174780.18	SRP72	ENST00000646579.1	1	1	1.12541704064407e-09	7.42775246825084e-08	0
ENSG00000154096.15	THY1	ENST00000524970.5	0.001	0.00405555555555556	3.80314117520201e-32	2.8523558814015e-30	0
ENSG00000154096.15	THY1	ENST00000900758.1	1	1	3.80314117520201e-32	2.8523558814015e-30	0
ENSG00000154096.15	THY1	ENST00000956364.1	0.225	0.644117647058824	3.80314117520201e-32	2.8523558814015e-30	0
ENSG00000149328.17	GLB1L2	ENST00000529077.5	1	1	6.59423234436854e-06	0.000382465475973376	0
ENSG00000149328.17	GLB1L2	ENST00000531081.5	1	1	6.59423234436854e-06	0.000382465475973376	0
ENSG00000149328.17	GLB1L2	ENST00000535456.7	1	1	6.59423234436854e-06	0.000382465475973376	0
ENSG00000247092.10	SNHG10	ENST00000554169.4	0.001	0.00405555555555556	6.16740323403537e-07	3.82379000510193e-05	0
ENSG00000247092.10	SNHG10	ENST00000660378.4	0.001	0.00405555555555556	6.16740323403537e-07	3.82379000510193e-05	0
ENSG00000247092.10	SNHG10	ENST00000667668.2	1	1	6.16740323403537e-07	3.82379000510193e-05	0
ENSG00000247092.10	SNHG10	ENST00000685307.3	1	1	6.16740323403537e-07	3.82379000510193e-05	0
ENSG00000068305.20	MEF2A	ENST00000559036.5	0.004	0.0153684210526316	1.32290628863472e-23	9.7895065358969e-22	0
ENSG00000068305.20	MEF2A	ENST00000889128.1	1	1	1.32290628863472e-23	9.7895065358969e-22	0
ENSG00000068305.20	MEF2A	ENST00000889134.1	0.001	0.00405555555555556	1.32290628863472e-23	9.7895065358969e-22	0
ENSG00000068305.20	MEF2A	ENST00000889162.1	1	1	1.32290628863472e-23	9.7895065358969e-22	0
ENSG00000068305.20	MEF2A	ENST00000928335.1	1	1	1.32290628863472e-23	9.7895065358969e-22	0
ENSG00000274322.1	ENSG00000274322	ENST00000617804.1	0.236	0.662615384615384	3.42041780909896e-05	0.00167600472645849	0
ENSG00000274322.1	ENSG00000274322	ENST00000618770.1	1	1	3.42041780909896e-05	0.00167600472645849	0
ENSG00000128274.18	A4GALT	ENST00000642412.2	0.088	0.27336170212766	0.00096997777109349	0.0426790219281135	0
ENSG00000128274.18	A4GALT	ENST00000868274.1	0.068	0.215826086956522	0.00096997777109349	0.0426790219281135	0
ENSG00000128274.18	A4GALT	ENST00000912638.1	0.001	0.00405555555555556	0.00096997777109349	0.0426790219281135	0
ENSG00000128274.18	A4GALT	ENST00000959693.1	1	1	0.00096997777109349	0.0426790219281135	0
ENSG00000122912.16	SLC25A16	ENST00000265870.7	0.363	0.697364705882353	7.96281487249106e-06	0.000437954817987008	0.5
ENSG00000122912.16	SLC25A16	ENST00000493963.5	0.099	0.38325	7.96281487249106e-06	0.000437954817987008	0.5
ENSG00000122912.16	SLC25A16	ENST00000609923.6	0.187	0.505592592592593	7.96281487249106e-06	0.000437954817987008	0.5
ENSG00000122912.16	SLC25A16	ENST00000873655.1	0.025	0.172545454545455	7.96281487249106e-06	0.000437954817987008	0.5
ENSG00000122912.16	SLC25A16	ENST00000966724.1	0.021	0.1533	7.96281487249106e-06	0.000437954817987008	0.5
ENSG00000122912.16	SLC25A16	ENST00000966726.1	0.168	0.49056	7.96281487249106e-06	0.000437954817987008	0.5
ENSG00000153560.13	UBP1	ENST00000283629.8	0.98	0.996	9.04299189485309e-07	5.51622505586039e-05	0.5
ENSG00000153560.13	UBP1	ENST00000447368.6	0.263	0.581787878787879	9.04299189485309e-07	5.51622505586039e-05	0.5
ENSG00000153560.13	UBP1	ENST00000490112.1	0.123	0.408136363636364	9.04299189485309e-07	5.51622505586039e-05	0.5
ENSG00000153560.13	UBP1	ENST00000492136.1	0.405	0.697364705882353	9.04299189485309e-07	5.51622505586039e-05	0.5
ENSG00000166582.12	CENPV	ENST00000299736.5	0.241	0.5520625	2.53830249783151e-07	1.59913057363385e-05	0.5
ENSG00000166582.12	CENPV	ENST00000472570.2	0.105	0.38325	2.53830249783151e-07	1.59913057363385e-05	0.5
ENSG00000166582.12	CENPV	ENST00000476243.5	0.805	0.95790243902439	2.53830249783151e-07	1.59913057363385e-05	0.5
ENSG00000166582.12	CENPV	ENST00000582062.1	0.099	0.38325	2.53830249783151e-07	1.59913057363385e-05	0.5
ENSG00000166582.12	CENPV	ENST00000631687.2	0.854	0.959107692307692	2.53830249783151e-07	1.59913057363385e-05	0.5
ENSG00000073067.14	CYP2W1	ENST00000308919.12	0.508342602892102	0.781242316023652	1.76101182092036e-05	0.000950946383296993	0.5
ENSG00000073067.14	CYP2W1	ENST00000468456.1	0.4	0.697364705882353	1.76101182092036e-05	0.000950946383296993	0.5
ENSG00000071243.17	ING3	ENST00000315870.10	0.63	0.848127272727273	6.94757558735389e-12	4.86330291114772e-10	0.5
ENSG00000071243.17	ING3	ENST00000339121.9	0.294	0.64065671641791	6.94757558735389e-12	4.86330291114772e-10	0.5
ENSG00000071243.17	ING3	ENST00000427726.5	0.1	0.38325	6.94757558735389e-12	4.86330291114772e-10	0.5
ENSG00000071243.17	ING3	ENST00000431467.1	0.026	0.172545454545455	6.94757558735389e-12	4.86330291114772e-10	0.5
ENSG00000071243.17	ING3	ENST00000445699.5	0.567	0.836181818181818	6.94757558735389e-12	4.86330291114772e-10	0.5
ENSG00000071243.17	ING3	ENST00000875858.1	0.002	0.0265454545454545	6.94757558735389e-12	4.86330291114772e-10	0.5
ENSG00000181061.15	HIGD1A	ENST00000321331.12	0.906	0.979822222222222	2.65229424186339e-05	0.0013261471209317	0.5
ENSG00000181061.15	HIGD1A	ENST00000470543.1	0.038	0.22192	2.65229424186339e-05	0.0013261471209317	0.5
ENSG00000181061.15	HIGD1A	ENST00000884327.1	0.56	0.836181818181818	2.65229424186339e-05	0.0013261471209317	0.5
ENSG00000140274.15	DUOXA2	ENST00000323030.6	0.00110497237569061	0.0179251074278699	5.39703674561379e-12	3.83189608938579e-10	0.5
ENSG00000140274.15	DUOXA2	ENST00000350243.10	0.115	0.408136363636364	5.39703674561379e-12	3.83189608938579e-10	0.5
ENSG00000170271.12	FAXDC2	ENST00000326080.10	0.176	0.503843137254902	1.08494070092841e-06	6.50964420557045e-05	0.5
ENSG00000170271.12	FAXDC2	ENST00000517448.5	0.438	0.713956043956044	1.08494070092841e-06	6.50964420557045e-05	0.5
ENSG00000170271.12	FAXDC2	ENST00000519501.5	0.613	0.844320754716981	1.08494070092841e-06	6.50964420557045e-05	0.5
ENSG00000170271.12	FAXDC2	ENST00000522825.1	0.209	0.526103448275862	1.08494070092841e-06	6.50964420557045e-05	0.5
ENSG00000170271.12	FAXDC2	ENST00000524250.5	0.833	0.959107692307692	1.08494070092841e-06	6.50964420557045e-05	0.5
ENSG00000131652.15	THOC6	ENST00000326266.13	0.635	0.848127272727273	1.69018007698512e-10	1.14932245234988e-08	0.5
ENSG00000131652.15	THOC6	ENST00000574957.1	0.58	0.838415841584158	1.69018007698512e-10	1.14932245234988e-08	0.5
ENSG00000131652.15	THOC6	ENST00000915279.1	0.943	0.996	1.69018007698512e-10	1.14932245234988e-08	0.5
ENSG00000182253.15	SYNM	ENST00000328642.11	0.825	0.959107692307692	3.17686182061874e-09	2.06496018340218e-07	0.5
ENSG00000182253.15	SYNM	ENST00000336292.11	0.134	0.434755555555556	3.17686182061874e-09	2.06496018340218e-07	0.5
ENSG00000182934.13	SRPRA	ENST00000332118.11	0.84	0.959107692307692	6.60914160832452e-06	0.000382465475973376	0.5
ENSG00000182934.13	SRPRA	ENST00000528744.5	0.385	0.697364705882353	6.60914160832452e-06	0.000382465475973376	0.5
ENSG00000182934.13	SRPRA	ENST00000531104.1	0.845	0.959107692307692	6.60914160832452e-06	0.000382465475973376	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000339360.9	0.25	0.561538461538462	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000380158.8	0.006	0.0625714285714286	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000408927.8	0.716	0.91501724137931	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000453712.6	0.001	0.0179251074278699	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000505378.5	0.001	0.0179251074278699	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000510870.5	0.988	0.996	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000511379.5	0.33	0.678591549295775	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000138698.16	RAP1GDS1	ENST00000514139.2	0.851	0.959107692307692	6.85053006162536e-20	5.00088694498651e-18	0.5
ENSG00000028116.19	VRK2	ENST00000340157.9	0.487	0.756404255319149	2.27451382123379e-05	0.00116000204882923	0.5
ENSG00000028116.19	VRK2	ENST00000909273.1	0.756	0.927529411764706	2.27451382123379e-05	0.00116000204882923	0.5
ENSG00000028116.19	VRK2	ENST00000909274.1	0.406	0.697364705882353	2.27451382123379e-05	0.00116000204882923	0.5
ENSG00000028116.19	VRK2	ENST00000916219.1	0.163	0.485673469387755	2.27451382123379e-05	0.00116000204882923	0.5
ENSG00000028116.19	VRK2	ENST00000970468.1	0.01	0.0858823529411765	2.27451382123379e-05	0.00116000204882923	0.5
ENSG00000107562.18	CXCL12	ENST00000343575.11	0.993	0.996	4.63027061494089e-88	3.51900566735508e-86	0.5
ENSG00000107562.18	CXCL12	ENST00000374426.6	0.239	0.5520625	4.63027061494089e-88	3.51900566735508e-86	0.5
ENSG00000107562.18	CXCL12	ENST00000374429.6	0.001	0.0179251074278699	4.63027061494089e-88	3.51900566735508e-86	0.5
ENSG00000090989.19	EXOC1	ENST00000346134.11	0.04	0.224615384615385	1.24007516662222e-10	8.55651864969335e-09	0.5
ENSG00000090989.19	EXOC1	ENST00000381295.7	0.598	0.8395	1.24007516662222e-10	8.55651864969335e-09	0.5
ENSG00000090989.19	EXOC1	ENST00000505501.1	0.743	0.921779661016949	1.24007516662222e-10	8.55651864969335e-09	0.5
ENSG00000090989.19	EXOC1	ENST00000511971.5	0.882	0.971503759398496	1.24007516662222e-10	8.55651864969335e-09	0.5
ENSG00000090989.19	EXOC1	ENST00000892248.1	0.966	0.996	1.24007516662222e-10	8.55651864969335e-09	0.5
ENSG00000174606.15	ANGEL2	ENST00000360506.6	0.397	0.697364705882353	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000174606.15	ANGEL2	ENST00000366962.8	0.009	0.082125	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000174606.15	ANGEL2	ENST00000460337.5	0.366	0.697364705882353	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000174606.15	ANGEL2	ENST00000473303.1	0.349	0.697364705882353	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000174606.15	ANGEL2	ENST00000476904.5	0.893	0.972970149253731	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000174606.15	ANGEL2	ENST00000481918.1	0.681	0.89572972972973	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000174606.15	ANGEL2	ENST00000498650.1	0.003	0.0365	9.61511333533214e-05	0.00442295213425278	0.5
ENSG00000163444.13	TMEM183A	ENST00000367242.4	0.724	0.91501724137931	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000163444.13	TMEM183A	ENST00000463015.1	0.786	0.9563	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000163444.13	TMEM183A	ENST00000468449.5	0.005	0.0561538461538462	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000163444.13	TMEM183A	ENST00000881137.1	0.104	0.38325	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000163444.13	TMEM183A	ENST00000881142.1	0.988	0.996	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000163444.13	TMEM183A	ENST00000881143.1	0.445	0.713956043956044	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000163444.13	TMEM183A	ENST00000912608.1	0.123	0.408136363636364	1.04823368571226e-07	6.70869558855849e-06	0.5
ENSG00000196591.13	HDAC2	ENST00000368632.6	0.002	0.0265454545454545	2.64336906751778e-10	1.77105727523691e-08	0.5
ENSG00000196591.13	HDAC2	ENST00000425835.6	0.58	0.838415841584158	2.64336906751778e-10	1.77105727523691e-08	0.5
ENSG00000196591.13	HDAC2	ENST00000519108.5	0.99	0.996	2.64336906751778e-10	1.77105727523691e-08	0.5
ENSG00000196591.13	HDAC2	ENST00000520746.1	0.153	0.485608695652174	2.64336906751778e-10	1.77105727523691e-08	0.5
ENSG00000196591.13	HDAC2	ENST00000521233.1	0.222	0.54935593220339	2.64336906751778e-10	1.77105727523691e-08	0.5
ENSG00000196591.13	HDAC2	ENST00000916849.1	0.203	0.522526315789474	2.64336906751778e-10	1.77105727523691e-08	0.5
ENSG00000057663.17	ATG5	ENST00000369070.5	0.384	0.697364705882353	3.83411936208659e-06	0.000226213042363109	0.5
ENSG00000057663.17	ATG5	ENST00000369076.8	0.001	0.0179251074278699	3.83411936208659e-06	0.000226213042363109	0.5
ENSG00000057663.17	ATG5	ENST00000476518.1	0.312	0.660173913043478	3.83411936208659e-06	0.000226213042363109	0.5
ENSG00000057663.17	ATG5	ENST00000646025.1	0.062	0.30141935483871	3.83411936208659e-06	0.000226213042363109	0.5
