	gene	n_q_values_tested	f_statistic	p_value	adj_p_value	ss_interaction	ss_residual	df_interaction	df_residual	effect_size_eta2	interaction_class	test_method	heteroscedastic	boundary_clustered	highly_skewed
68	SLC9A7	41	0.063929632624758	1	1	111633.951219512	12528988	40	615	0.000502180281190418	Robust across q	art_paired	FALSE	FALSE	FALSE
69	SYNM	41	0.602664460337896	0.972939422787175	1	150557.530487805	1792457.25	40	615	0.000412655856418048	Robust across q	art_paired	FALSE	FALSE	FALSE
70	PICALM	41	0.0400028007524173	1	1	59736.7621951218	10714531.5	40	615	0.000320729871333776	Robust across q	art_paired	FALSE	FALSE	FALSE
71	MCC	41	0.0187681630817508	1	1	25409.6859756097	9714029.875	40	615	0.000299919121466387	Robust across q	art_paired	FALSE	FALSE	FALSE
72	ENSG00000291072	41	0.0117978527715873	1	1	16268.9512195122	9894150	40	615	0.000281224289165711	Robust across q	art_paired	FALSE	FALSE	FALSE
73	IFIT3	41	0.0913481504424488	0.999999999999965	1	154708.628048781	12151690	40	615	0.000225778895938916	Robust across q	art_paired	FALSE	FALSE	FALSE
74	NSA2	41	0.519750180629208	0.993044368309716	1	188963.762195122	2608589.75	40	615	0.000174906195343903	Robust across q	art_paired	FALSE	FALSE	FALSE
75	GSKIP	41	0.211378980578262	0.999999945953175	1	5537.37804878048	187959.5	40	615	0.000147690553566735	Robust across q	art_paired	FALSE	FALSE	FALSE
76	RELCH	41	0.03570306077364	1	1	69799.2530487806	14027078.625	40	615	7.55703197938894e-05	Robust across q	art_paired	FALSE	FALSE	FALSE
77	PMEPA1	41	0.0140061300039433	1	1	23754.6219512196	12168915.5	40	615	4.74865478210353e-05	Robust across q	art_paired	FALSE	FALSE	FALSE
