gene	p_value_interaction	slope_diff	effect_size_D_q0_01	effect_size_D_q0_05	effect_size_D_q0_1	effect_size_D_q0_15	effect_size_D_q0_2	effect_size_D_q0_25	effect_size_D_q0_3	effect_size_D_q0_35	effect_size_D_q0_4	effect_size_D_q0_45	effect_size_D_q0_5	effect_size_D_q0_55	effect_size_D_q0_6	effect_size_D_q0_65	effect_size_D_q0_7	effect_size_D_q0_75	effect_size_D_q0_8	effect_size_D_q0_85	effect_size_D_q0_9	effect_size_D_q0_95	effect_size_D_q1	effect_size_D_q1_05	effect_size_D_q1_1	effect_size_D_q1_15	effect_size_D_q1_2	effect_size_D_q1_25	effect_size_D_q1_3	effect_size_D_q1_35	effect_size_D_q1_4	effect_size_D_q1_45	effect_size_D_q1_5	effect_size_D_q1_55	effect_size_D_q1_6	effect_size_D_q1_65	effect_size_D_q1_7	effect_size_D_q1_75	effect_size_D_q1_8	effect_size_D_q1_85	effect_size_D_q1_9	effect_size_D_q1_95	effect_size_D_q2	per_q_pattern	div_rare_median	div_abundant_median	q_ratio
SRP72	7.42775246825084e-08	0.0524708215805398	0.0209235156601237	0.0222515030250906	0.0239207332308604	0.025585246662378	0.0272286054223952	0.0288343502007606	0.0303863807031238	0.0318693087413724	0.0332687704947669	0.0345716884251025	0.0357664774830045	0.0368431941370053	0.0377936300655903	0.038611354882372	0.0392917139535924	0.0398317882602064	0.0402303234731037	0.0404876351086108	0.0406054959808871	0.0405870113240871	0.0404364860493415	0.0399594029746838	0.0386544864716565	0.0372698122250454	0.0358168452707332	0.0343075290504364	0.0327540877329039	0.0311688243760539	0.0295639208194768	0.027951245170568	0.0263421724319508	0.0247474232278826	0.0231769247595144	0.0216396971077739	0.0201437668758923	0.0186961089951868	0.0173026163811504	0.015968096088636	0.0146962897289775	0.013489915216367	0.0123507264261973	Rare driven	0.0351690829540535	0.0255447978299167	1.3767610606362
SYNM	2.06496018340218e-07	0.0118245851168302	0.944286491999447	0.946876024779747	0.949717425612326	0.952072260952641	0.953893953986822	0.955140546613345	0.955775062626585	0.95576569015361	0.955085801210927	0.953713835292867	0.951633079323963	0.948831378092806	0.945300807855766	0.941037341866103	0.936040530990989	0.930313216164708	0.923861282924121	0.916693462252004	0.908821176802139	0.900258427511899	0.891021712694628	0.876744323272903	0.846361301880282	0.816091145808838	0.785924987380317	0.755870637919541	0.725950569255309	0.696199814945163	0.666663816701107	0.637396248809355	0.608456858591733	0.579909363831879	0.551819448443099	0.524252895534662	0.497273892672665	0.470943537923269	0.445318567720299	0.42045031929148	0.396383931893016	0.373157782983907	0.350803148178239	Rare driven	0.947853701436277	0.594183111211806	1.59522154627246
TMEM183A	6.70869558855849e-06	-0.0882612991693059	0.0456635810546584	0.0484240387289641	0.0518750089574997	0.055294559191828	0.0586481920963181	0.0619018272520862	0.0650225895581046	0.067979523774196	0.0707442090681047	0.0732912564293086	0.0755986808884824	0.0776481487268324	0.0794251066326434	0.0809188047220035	0.0821222284244283	0.0830319556001669	0.0836479552070118	0.0839733427417074	0.0840141059210667	0.0837788119770628	0.0832783057890089	0.0821146525022573	0.0792641572980049	0.076267886441883	0.0731495939265136	0.0699337531409489	0.0666451642017557	0.0633085582382581	0.0599482100035956	0.0565875699579544	0.0532489261949283	0.0499531052952481	0.0467192194729315	0.0435644653391085	0.0405039773827409	0.0375507369991195	0.0347155357265369	0.032006989402923	0.0294315983256743	0.0269938472555546	0.0246963382811163	Rare driven	0.0744449686588955	0.0516010157450882	1.44270355115988
CENPV	1.59913057363385e-05	0.0407998232372472	0.0944559729170168	0.0997037976059278	0.106221720023317	0.112633745782738	0.11887660564711	0.12488883561264	0.130612148485998	0.135992633409137	0.140981743793517	0.145537051689997	0.149622763436827	0.153210005950551	0.156276904263065	0.158808478451186	0.160796392047591	0.162238584831482	0.163138821261546	0.163506182497073	0.163354525685305	0.162701929594571	0.161570141218308	0.159187745737836	0.153572154098129	0.147709622947501	0.14164235677387	0.135413769618281	0.129067817417964	0.122648321874058	0.116198305155315	0.109759354590507	0.103371035390884	0.0970703674311903	0.0908913793259108	0.0848647496489509	0.0790175413851318	0.073373031816765	0.0679506362820204	0.0627659208136774	0.0578306957553126	0.0531531801817648	0.048738225387891	Rare driven	0.147579907563412	0.100220701411037	1.47254913890634
SNHG10	3.82379000510193e-05	0.086403846994524	0.0534153515648087	0.0565780013939212	0.0605245542107413	0.064427115190451	0.0682463584237488	0.0719436101521532	0.0754817378062908	0.0788259485406301	0.0819444687077633	0.0848090861847776	0.0873955478793119	0.0896838140847789	0.0916581789187938	0.093307271509591	0.0946239558538442	0.095605148564977	0.0962515734308943	0.0965674702420314	0.0965602731715795	0.0962402714750569	0.0956202627320514	0.0942437806671659	0.0909370766412781	0.0874692890506941	0.0838673105888518	0.0801588055435348	0.0763717709678491	0.0725340947089609	0.0686731229602612	0.0648152497573354	0.0609855399787432	0.0572073959817175	0.0535022760879822	0.0498894708604715	0.0463859406276551	0.0430062151791903	0.0397623541313837	0.0366639642823089	0.0337182684544112	0.0309302189313654	0.0283026476717026	Rare driven	0.0861023170320447	0.0590964679802304	1.4569790712509
UBP1	5.51622505586039e-05	0.0634756854414809	0.004139885343197	0.00438872874605004	0.00469889827681157	0.00500505571928618	0.00530393366074215	0.00559231858211489	0.00586712708825604	0.00612547478966764	0.00636473529748442	0.00658258766634855	0.00677705150058419	0.0069465097401189	0.00708971980200322	0.00720581423814868	0.00729429237385579	0.00735500453006293	0.00738813043390483	0.0073941533228793	0.00737383108364331	0.0073281655694565	0.00725837103642403	0.00713017591154804	0.00685574773140478	0.00656967976581977	0.00627429680063838	0.00597195894645862	0.00566502339089697	0.00535580679290385	0.00504654940026207	0.00473938190975594	0.00443629597757501	0.00413911913145815	0.00384949464554475	0.00356886672610591	0.00329847113497871	0.00303933116148372	0.00279225865564962	0.00255785966632873	0.0023365440949427	0.00212853868352275	0.00193390260539641	Rare driven	0.00667981958346637	0.00428770755451658	1.55789999633487
FAXDC2	6.50964420557045e-05	-0.106794672223397	0.161388694377773	0.170877151383159	0.18279612472723	0.194688841943969	0.20645675635237	0.218002530818985	0.229232128560473	0.2400566705882	0.250393996111236	0.260169888504563	0.269318955045396	0.277785171078978	0.285522116967372	0.292492948345861	0.298670146889097	0.304035100593756	0.308577560503411	0.312295015970859	0.315192024084876	0.317279521749457	0.318574141854366	0.317509304889221	0.309996248453274	0.301892189422205	0.293250966109989	0.284130855364714	0.274593739271376	0.264704192708801	0.254528516315048	0.244133742074612	0.233586640097682	0.222952755099055	0.212295499594311	0.201675328016871	0.191149012025797	0.18076903250432	0.170583098476972	0.160633797750096	0.150958378842564	0.141588659013652	0.132551049142396	Balanced	0.264744421774979	0.228269697598369	1.15978784990019
ATG5	0.000226213042363109	-0.040678620972815	0.0304427787890816	0.0324242369011694	0.0349236685320678	0.0374265768955436	0.0399090512928004	0.0423469625328866	0.0447165155708107	0.0469947683762765	0.0491600968570001	0.051192591197449	0.0530743748654873	0.0547898431460112	0.056325822894455	0.0576716589649867	0.0588192353459712	0.0597629404737292	0.0604995866509702	0.0610282931873658	0.0613503420442629	0.0614690136270112	0.0613894091150924	0.060814060665721	0.0589744911958683	0.0570053109038127	0.0549229708692283	0.0527448038703523	0.0504887356422287	0.0481729855817758	0.0458157656536711	0.0434349863884548	0.0410479785635647	0.0386712384310119	0.0363202032469346	0.0340090624423325	0.0317506081470694	0.0295561270495598	0.0274353338536528	0.0253963449855308	0.0234456897941124	0.0215883553432349	0.0198278600519258	Rare driven	0.0521334830314682	0.0398596084972883	1.30792762390064
GLB1L2	0.000382465475973376	0.0832353222606397	0.0349775467198001	0.0371250667117603	0.039812576722015	0.0424785235899944	0.0450957296917216	0.0476372549635039	0.0500770249955455	0.0523904046455606	0.0545546958029261	0.056549544891802	0.0583572528056864	0.0599629864935045	0.0613548968477996	0.0625241515905771	0.0634648944428932	0.0641741431074117	0.0646516387134562	0.0648996586546378	0.064922803481241	0.0647277669564229	0.0643230967607307	0.0634018035636751	0.0611745722011477	0.0588323517382353	0.0563941564159358	0.0538795580419672	0.0513083672394608	0.0487003132299725	0.0460747314106802	0.0434502677457967	0.0408446083071967	0.0382742412043683	0.0357542567066301	0.0332981896745918	0.0309179065938794	0.0286235376596154	0.0264234526082224	0.0243242774329532	0.022330947828462	0.0204467942385896	0.0186736527530698	Rare driven	0.0574533988487442	0.0395594247557825	1.45233150389393
ETFRF1	0.000382465475973376	-0.0884024219851343	0.0474187043353111	0.0504556390165917	0.0542903452165307	0.0581369917722793	0.0619615691892935	0.0657298525483918	0.0694081686466907	0.0729641075109569	0.0763671511844928	0.0795892009158285	0.0826049924318323	0.0853923969571719	0.087932612377512	0.0902102540450221	0.0922133580702998	0.0939333116343305	0.0953647251398525	0.0965052602369358	0.097355426255306	0.0979183556818195	0.0981995673059932	0.0977179195709731	0.0952218473682551	0.0925209893872948	0.0896363405943604	0.0865903994105672	0.0834068132529735	0.0801100010189622	0.0767247631560152	0.0732758905782056	0.0697877837645035	0.0662840928867681	0.062787388794834	0.0593188732012633	0.0558981345625112	0.0525429540738392	0.0492691640212885	0.0460905586027505	0.0430188553654067	0.0400637037091236	0.0372327355459704	Balanced	0.0810970966738304	0.0680359383256358	1.19197439867267
